model,group_kind,group_value,total,correct,accuracy,null_prediction,coverage,invalid_formats,missing_format_flag
Qwen2.5-VL-72B-AWQ-vLLM,category,Algebra,593,254,0.4283,0,1.0000,0,0
Qwen2.5-VL-72B-AWQ-vLLM,category,Arithmetik,1109,501,0.4518,0,1.0000,0,0
Qwen2.5-VL-72B-AWQ-vLLM,category,Geometrie,1168,409,0.3502,0,1.0000,0,0
Qwen2.5-VL-72B-AWQ-vLLM,category,Stochastik,593,257,0.4334,0,1.0000,0,0
Qwen2.5-VL-72B-AWQ-vLLM,category,unknown,94,32,0.3404,0,1.0000,0,0
Qwen2.5-VL-72B-AWQ-vLLM,difficulty,A,1172,563,0.4804,0,1.0000,0,0
Qwen2.5-VL-72B-AWQ-vLLM,difficulty,B,1184,460,0.3885,0,1.0000,0,0
Qwen2.5-VL-72B-AWQ-vLLM,difficulty,C,1201,430,0.3580,0,1.0000,0,0
Qwen2.5-VL-7B-vLLM,overall,ALL,3557,1016,0.2856,0,1.0000,0,0
Qwen2.5-VL-7B-vLLM,category,Algebra,593,172,0.2901,0,1.0000,0,0
Qwen2.5-VL-7B-vLLM,category,Arithmetik,1109,318,0.2867,0,1.0000,0,0
Qwen2.5-VL-7B-vLLM,category,Geometrie,1168,315,0.2697,0,1.0000,0,0
Qwen2.5-VL-7B-vLLM,category,Stochastik,593,187,0.3153,0,1.0000,0,0
Qwen2.5-VL-7B-vLLM,category,unknown,94,24,0.2553,0,1.0000,0,0
Qwen2.5-VL-7B-vLLM,difficulty,A,1172,362,0.3089,0,1.0000,0,0
Qwen2.5-VL-7B-vLLM,difficulty,B,1184,334,0.2821,0,1.0000,0,0
Qwen2.5-VL-7B-vLLM,difficulty,C,1201,320,0.2664,0,1.0000,0,0
Qwen3-VL-2B-Instruct,overall,ALL,3557,854,0.2401,0,1.0000,0,0
Qwen3-VL-2B-Instruct,category,Algebra,593,158,0.2664,0,1.0000,0,0
Qwen3-VL-2B-Instruct,category,Arithmetik,1109,271,0.2444,0,1.0000,0,0
Qwen3-VL-2B-Instruct,category,Geometrie,1168,274,0.2346,0,1.0000,0,0
Qwen3-VL-2B-Instruct,category,Stochastik,593,128,0.2159,0,1.0000,0,0
Qwen3-VL-2B-Instruct,category,unknown,94,23,0.2447,0,1.0000,0,0
Qwen3-VL-2B-Instruct,difficulty,A,1172,294,0.2509,0,1.0000,0,0
Qwen3-VL-2B-Instruct,difficulty,B,1184,266,0.2247,0,1.0000,0,0
Qwen3-VL-2B-Instruct,difficulty,C,1201,294,0.2448,0,1.0000,0,0
Qwen3-VL-30B-Instruct,overall,ALL,3557,1084,0.3048,0,1.0000,0,0
Qwen3-VL-30B-Instruct,category,Algebra,593,179,0.3019,0,1.0000,0,0
Qwen3-VL-30B-Instruct,category,Arithmetik,1109,339,0.3057,0,1.0000,0,0
Qwen3-VL-30B-Instruct,category,Geometrie,1168,356,0.3048,0,1.0000,0,0
Qwen3-VL-30B-Instruct,category,Stochastik,593,178,0.3002,0,1.0000,0,0
Qwen3-VL-30B-Instruct,category,unknown,94,32,0.3404,0,1.0000,0,0
Qwen3-VL-30B-Instruct,difficulty,A,1172,385,0.3285,0,1.0000,0,0
Qwen3-VL-30B-Instruct,difficulty,B,1184,350,0.2956,0,1.0000,0,0
Qwen3-VL-30B-Instruct,difficulty,C,1201,349,0.2906,0,1.0000,0,0
Qwen3-VL-4B-Instruct,overall,ALL,3557,947,0.2662,0,1.0000,0,0
Qwen3-VL-4B-Instruct,category,Algebra,593,188,0.3170,0,1.0000,0,0
Qwen3-VL-4B-Instruct,category,Arithmetik,1109,282,0.2543,0,1.0000,0,0
Qwen3-VL-4B-Instruct,category,Geometrie,1168,294,0.2517,0,1.0000,0,0
Qwen3-VL-4B-Instruct,category,Stochastik,593,164,0.2766,0,1.0000,0,0
Qwen3-VL-4B-Instruct,category,unknown,94,19,0.2021,0,1.0000,0,0
Qwen3-VL-4B-Instruct,difficulty,A,1172,364,0.3106,0,1.0000,0,0
Qwen3-VL-4B-Instruct,difficulty,B,1184,288,0.2432,0,1.0000,0,0
Qwen3-VL-4B-Instruct,difficulty,C,1201,295,0.2456,0,1.0000,0,0
Qwen3-VL-8B-Instruct,overall,ALL,3557,995,0.2797,0,1.0000,0,0
Qwen3-VL-8B-Instruct,category,Algebra,593,185,0.3120,0,1.0000,0,0
Qwen3-VL-8B-Instruct,category,Arithmetik,1109,297,0.2678,0,1.0000,0,0
Qwen3-VL-8B-Instruct,category,Geometrie,1168,320,0.2740,0,1.0000,0,0
Qwen3-VL-8B-Instruct,category,Stochastik,593,172,0.2901,0,1.0000,0,0
Qwen3-VL-8B-Instruct,category,unknown,94,21,0.2234,0,1.0000,0,0
Qwen3-VL-8B-Instruct,difficulty,A,1172,366,0.3123,0,1.0000,0,0
Qwen3-VL-8B-Instruct,difficulty,B,1184,316,0.2669,0,1.0000,0,0
Qwen3-VL-8B-Instruct,difficulty,C,1201,313,0.2606,0,1.0000,0,0
gpt-5.4,overall,ALL,3557,2844,0.7996,1,0.9997,1,0
gpt-5.4,category,Algebra,593,531,0.8954,0,1.0000,0,0
