modalität,,Text-only,Text-only,Text-only,Text-only,Visuell,Visuell,Visuell,Visuell
difficulty,,A,B,C,ALL,A,B,C,ALL
model,math_category,,,,,,,,
Qwen3-VL-30B-Instruct_CoT-Voting_n5,Algebra,93.7,85.4,59.1,75.5,52.9,43.2,32.6,40.4
Qwen3-VL-30B-Instruct_CoT-Voting_n5,Arithmetik,91.0,75.6,61.7,79.8,62.9,50.9,24.1,46.2
Qwen3-VL-30B-Instruct_CoT-Voting_n5,Geometrie,91.0,67.4,45.8,65.5,35.9,36.5,27.5,33.3
Qwen3-VL-30B-Instruct_CoT-Voting_n5,Stochastik,78.8,60.0,43.5,55.7,40.7,23.9,21.6,29.1
Qwen3-VL-30B-Instruct_CoT-Voting_n5,unknown,58.3,87.5,55.0,66.7,29.6,27.3,20.0,27.9
Qwen3-VL-4B-Instruct_CoT-Voting_n5,Algebra,91.0,82.9,54.5,72.0,41.2,27.3,18.6,26.0
Qwen3-VL-4B-Instruct_CoT-Voting_n5,Arithmetik,86.6,69.1,52.0,73.6,51.6,37.7,22.4,37.6
Qwen3-VL-4B-Instruct_CoT-Voting_n5,Geometrie,85.1,64.2,40.6,60.9,28.8,25.4,21.5,25.3
Qwen3-VL-4B-Instruct_CoT-Voting_n5,Stochastik,72.5,56.1,39.1,51.1,37.0,19.6,5.9,21.2
Qwen3-VL-4B-Instruct_CoT-Voting_n5,unknown,58.3,50.0,35.0,45.8,44.4,0.0,0.0,27.9
Qwen3-VL-8B-Instruct_CoT-Voting_n5,Algebra,92.8,84.8,63.2,76.9,52.9,50.0,30.2,42.3
Qwen3-VL-8B-Instruct_CoT-Voting_n5,Arithmetik,90.8,80.1,61.2,81.1,61.3,45.3,25.9,44.5
Qwen3-VL-8B-Instruct_CoT-Voting_n5,Geometrie,88.1,70.5,47.9,66.7,34.6,27.8,22.2,28.2
Qwen3-VL-8B-Instruct_CoT-Voting_n5,Stochastik,83.8,60.0,40.6,55.2,33.3,19.6,13.7,22.5
Qwen3-VL-8B-Instruct_CoT-Voting_n5,unknown,58.3,87.5,40.0,60.4,18.5,9.1,20.0,16.3
mistral-medium-2508_CoT-Voting_n5,Algebra,86.5,74.7,56.8,69.3,35.3,29.5,23.3,27.9
mistral-medium-2508_CoT-Voting_n5,Arithmetik,83.6,68.7,55.1,72.8,53.2,43.4,36.2,44.5
mistral-medium-2508_CoT-Voting_n5,Geometrie,82.1,69.5,44.8,63.6,35.3,34.4,29.5,33.1
mistral-medium-2508_CoT-Voting_n5,Stochastik,70.0,59.4,49.8,56.8,35.2,34.8,19.6,29.8
mistral-medium-2508_CoT-Voting_n5,unknown,50.0,50.0,45.0,47.9,22.2,18.2,40.0,23.3
